timestamp,batch_id,error_json,payload
2025-06-19 23:30:10,A-459d286c-7ab5-48b2-939a-502576df97af,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E03X1QYPVYWMIJBFCFGwDuklgchbcbg9ca5XOPFGysi-30VRKAvri&CurrencyCode=USD&CustomerEmail=761a79d755f6af2bc10e6427159e82e16b615ae1&CustomerId=25393&CustomerStatus=Existing&EventDate=2025-06-19T23%3A28%3A33.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206616&OrderPromoCode=Vacay&ItemSku1=VAP-BJB-BAR-2000&ItemQuantity1=1&ItemCategory1=THCA%20Liquid%20Diamond%20Vapes&ItemSubtotal1=39.99&ItemSku2=VAP-BHM-BAR-2000&ItemQuantity2=1&ItemCategory2=THCA%20Liquid%20Diamond%20Vapes&ItemSubtotal2=39.99&ItemSku3=VAP-BHM-BAR-2000&ItemQuantity3=1&ItemCategory3=THCA%20Liquid%20Diamond%20Vapes&ItemSubtotal3=0&ItemSku4=VAP-BJB-BAR-2000&ItemQuantity4=1&ItemCategory4=THCA%20Liquid%20Diamond%20Vapes&ItemSubtotal4=0
2025-06-19 23:28:11,A-bf7fbd64-7ac7-41f2-a8f3-859fd0ba25cd,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7Eb%7Eadkoimljqijhgjhi%7Ef8Z0ZUZSUY4-84VXMNDECwng950XPFAxn&CurrencyCode=USD&CustomerEmail=b13f3517d709659d622c0d31da96f7d2ee298e69&CustomerId=187284&CustomerStatus=New&EventDate=2025-06-19T22%3A01%3A58.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206570&OrderPromoCode=vacay&ItemSku1=ROG-MEN-089-1500&ItemQuantity1=1&ItemCategory1=Koi%20CBD%20Roll-On%20Gel&ItemSubtotal1=79.99&ItemSku2=ROG-MEN-089-1500&ItemQuantity2=1&ItemCategory2=Koi%20CBD%20Roll-On%20Gel&ItemSubtotal2=0
2025-06-19 23:28:10,A-22179968-2623-4ca4-a6d0-72cde3e7bc2c,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E79d%7Ed57bec9-afkmklbi-23XSYRSWOQLFKEJKABAsja-61YQGByo&CurrencyCode=USD&CustomerEmail=0f8474a7d8add43f9f52a2cc285d71cede2ceead&CustomerStatus=New&EventDate=2025-06-19T23%3A26%3A25.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=47.196.67.214&OrderId=2206615&OrderPromoCode=Vacay&ItemSku1=GUM-BLR-020-2500&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=79.99&ItemSku2=GUM-BLR-020-2500&ItemQuantity2=1&ItemCategory2=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal2=0
2025-06-19 23:24:11,A-c2c4a826-125a-4284-aa6d-939f4fdb260a,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7Eb8-2V0YW021WXSMEDEuBrijgbgabg-d580656WXWRLEDwqng830Q&CurrencyCode=USD&CustomerEmail=9a39334105ebdf487be553237ccd6df42d18ab45&CustomerStatus=New&EventDate=2025-06-19T21%3A51%3A49.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206559&OrderPromoCode=VACAY&ItemSku1=GUM-NCL-060-0600&ItemQuantity1=1&ItemCategory1=Koi%20CBD%20Gummies%20%7C%20Nighttime%20Rest&ItemSubtotal1=59.99&ItemSku2=GUM-NCL-060-0600&ItemQuantity2=1&ItemCategory2=Koi%20CBD%20Gummies%20%7C%20Nighttime%20Rest&ItemSubtotal2=0
2025-06-19 23:22:11,A-73aa0ced-512e-45c6-8379-0feb29d5bd21,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E8-14Z642V2734-gfhi%7Ef8Z0UPVOPOFICrmg9%7E01UMECypkha2XUK&CurrencyCode=USD&CustomerEmail=f5e8c81f4d7660f33bf09e75ae01a5daba48d41a&CustomerId=28961&CustomerStatus=Existing&EventDate=2025-06-19T23%3A21%3A00.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=38.48.36.236&OrderId=2206612&OrderPromoCode=Vacay&ItemSku1=GUM-NCL-060-0600&ItemQuantity1=1&ItemCategory1=Koi%20CBD%20Gummies%20%7C%20Nighttime%20Rest&ItemSubtotal1=59.99&ItemSku2=GUM-NCL-060-0600&ItemQuantity2=1&ItemCategory2=Koi%20CBD%20Gummies%20%7C%20Nighttime%20Rest&ItemSubtotal2=0
2025-06-19 23:22:10,A-6fdec221-1e1f-404e-a052-8432eb558b55,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E3XNSQULSWONPQOIGJKAHyopiejde87YVPRV23SUQOLHzqlib3YVL&CurrencyCode=USD&CustomerEmail=a22dee52a4ad2dfa804b54951f5db9bae625a54b&CustomerId=8907&CustomerStatus=Existing&EventDate=2025-06-19T23%3A19%3A43.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206611&OrderPromoCode=dis-d59ed04cd&ItemSku1=FLW-GAS-003-THCA-2PK&ItemQuantity1=2&ItemCategory1=Gasanova%20Strain%20%28Indica%29&ItemSubtotal1=83.98&ItemSku2=NCOMP-SAMP&ItemQuantity2=1&ItemCategory2=Welcome%20Pack&ItemSubtotal2=0
2025-06-19 23:20:12,A-0fe078d4-7dee-453c-84a6-a014673c2ce4,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E03X1QYPVYWMIJBFCFGwDukleaf-a28Y3W159%7E01ZWMKEvpmf72ZP&CurrencyCode=USD&CustomerEmail=387415f1d5bcda0c4f8ac77163c1ae5ae44a38ad&CustomerStatus=New&EventDate=2025-06-19T23%3A19%3A02.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206610&ItemSku1=VAP-SBI-BAR-0300&ItemQuantity1=1&ItemCategory1=Koi%20Balance%20Bar%20CBD%20Vape&ItemSubtotal1=35.99
2025-06-19 23:18:11,A-7e5c7195-17f1-4e12-85b9-61cbe31290a1,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E9c-fia93SNSNOFwvuvkri-a8c823WVNINJHLMCDsnha3SNKDsnkb&CurrencyCode=USD&CustomerEmail=f5ba6d848eda20e0f6b198f2445853befeb61ab8&CustomerId=186845&CustomerStatus=Existing&EventDate=2025-06-19T23%3A14%3A28.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206609&OrderPromoCode=489797DCE&ItemSku1=ROG-MEN-089-0500&ItemQuantity1=3&ItemCategory1=Koi%20CBD%20Roll-On%20Gel&ItemSubtotal1=71.98&ItemSku2=BAL-NAT-014-0150&ItemQuantity2=5&ItemCategory2=Koi%20Naturals%20CBD%20Balm&ItemSubtotal2=59.97&ItemSku3=BAL-NAT-045-0500&ItemQuantity3=3&ItemCategory3=Koi%20Naturals%20CBD%20Balm&ItemSubtotal3=71.98
2025-06-19 23:15:10,A-f849e0d7-ffe7-4748-b63a-8f61de82d9d6,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7Ed%7E927ZRHyEBrsvBFDELRIzAwBwpqskc87-9Z0PQOJHAzwpmf72ZP&CurrencyCode=USD&CustomerEmail=9d2db185337457b3df82d195ea3d109d064f8137&CustomerId=12641&CustomerStatus=Existing&EventDate=2025-06-19T23%3A10%3A25.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206605&ItemSku1=GUM-STR-020-0500D9&ItemQuantity1=1&ItemCategory1=Extra%20Strength%20Delta%209%20THC%20Gummies&ItemSubtotal1=59.19
2025-06-19 23:14:10,A-701b137f-e7e9-439e-8fd0-d057143c2415,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E8%7Eb875-43YVNOKGILMCJAqrjfkef85%7E4YNELMCDxqka%7E71YQGByo&CurrencyCode=USD&CustomerEmail=2aa6b6e6cd78b2920e8007c881695fd66cdd6f98&CustomerId=56309&CustomerStatus=Existing&EventDate=2025-06-19T23%3A12%3A53.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=136.51.12.115&OrderId=2206608&ItemSku1=GUM-VAR-010-1250&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=46.29
